prompt_type,n_shots,transcript_type,concat_fewshot,concat_test,two_turns,aggregate_fewshot,balanced_accuracy
vanilla,1,none,FALSE,FALSE,FALSE,TRUE,0.581852005
vanilla,2,none,FALSE,FALSE,FALSE,TRUE,0.5310045473
vanilla,4,none,FALSE,FALSE,FALSE,TRUE,0.6099627945
vanilla,1,none,FALSE,TRUE,FALSE,TRUE,0.5266639107
vanilla,2,none,FALSE,TRUE,FALSE,TRUE,0.5378255477
vanilla,4,none,FALSE,TRUE,FALSE,TRUE,0.5341050021
vanilla,1,none,TRUE,FALSE,FALSE,FALSE,0.5219098801
vanilla,2,none,TRUE,FALSE,FALSE,FALSE,0.5140553948
vanilla,4,none,TRUE,FALSE,FALSE,FALSE,0.5421661844
vanilla,1,none,TRUE,TRUE,FALSE,FALSE,0.5398925176
vanilla,2,none,TRUE,TRUE,FALSE,FALSE,0.5574617611
vanilla,4,none,TRUE,TRUE,FALSE,FALSE,0.5892930963
vanilla,0,none,FALSE,FALSE,FALSE,FALSE,0.5219098801
vanilla,1,none,FALSE,FALSE,FALSE,FALSE,0.5272840017
vanilla,2,none,FALSE,FALSE,FALSE,FALSE,0.4987598181
vanilla,4,none,FALSE,FALSE,FALSE,FALSE,0.535345184
vanilla,0,none,FALSE,TRUE,FALSE,FALSE,0.5070276974
vanilla,1,none,FALSE,TRUE,FALSE,FALSE,0.5388590327
vanilla,2,none,FALSE,TRUE,FALSE,FALSE,0.5876395205
vanilla,4,none,FALSE,TRUE,FALSE,FALSE,0.5367920628
vanilla,0,none,FALSE,FALSE,TRUE,FALSE,0.4731293923
vanilla,1,none,FALSE,FALSE,TRUE,FALSE,0.523563456
vanilla,2,none,FALSE,FALSE,TRUE,FALSE,0.5204630012
vanilla,4,none,FALSE,FALSE,TRUE,FALSE,0.5082678793
vanilla,1,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5037205457
vanilla,2,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5159156676
vanilla,4,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5037205457
vanilla,1,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5403059115
vanilla,2,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5609756098
vanilla,4,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5365853659
vanilla,1,groundtruth,TRUE,FALSE,FALSE,FALSE,0.5609756098
vanilla,2,groundtruth,TRUE,FALSE,FALSE,FALSE,0.5409260025
vanilla,4,groundtruth,TRUE,FALSE,FALSE,FALSE,0.6140967342
vanilla,1,groundtruth,TRUE,TRUE,FALSE,FALSE,0.5721372468
vanilla,2,groundtruth,TRUE,TRUE,FALSE,FALSE,0.5754443985
vanilla,4,groundtruth,TRUE,TRUE,FALSE,FALSE,0.5791649442
vanilla,0,groundtruth,FALSE,FALSE,FALSE,FALSE,0.512195122
vanilla,1,groundtruth,FALSE,FALSE,FALSE,FALSE,0.5196362133
vanilla,2,groundtruth,FALSE,FALSE,FALSE,FALSE,0.5398925176
vanilla,4,groundtruth,FALSE,FALSE,FALSE,FALSE,0.6448945845
vanilla,0,groundtruth,FALSE,TRUE,FALSE,FALSE,0.4915254237
vanilla,1,groundtruth,FALSE,TRUE,FALSE,FALSE,0.5843323687
vanilla,2,groundtruth,FALSE,TRUE,FALSE,FALSE,0.6506821
vanilla,4,groundtruth,FALSE,TRUE,FALSE,FALSE,0.6384869781
vanilla,0,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5037205457
vanilla,1,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5
vanilla,2,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5487804878
vanilla,4,groundtruth,FALSE,FALSE,TRUE,FALSE,0.5477470029
vanilla,1,asr,FALSE,FALSE,FALSE,TRUE,0.5126085159
vanilla,2,asr,FALSE,FALSE,FALSE,TRUE,0.5126085159
vanilla,4,asr,FALSE,FALSE,FALSE,TRUE,0.5041339396
vanilla,1,asr,FALSE,TRUE,FALSE,TRUE,0.500413394
vanilla,2,asr,FALSE,TRUE,FALSE,TRUE,0.5126085159
vanilla,4,asr,FALSE,TRUE,FALSE,TRUE,0.4966928483
vanilla,1,asr,TRUE,FALSE,FALSE,FALSE,0.500413394
vanilla,2,asr,TRUE,FALSE,FALSE,FALSE,0.500413394
vanilla,4,asr,TRUE,FALSE,FALSE,FALSE,0.5163290616
vanilla,1,asr,TRUE,TRUE,FALSE,FALSE,0.5210830922
vanilla,2,asr,TRUE,TRUE,FALSE,FALSE,0.5078544853
vanilla,4,asr,TRUE,TRUE,FALSE,FALSE,0.5078544853
vanilla,0,asr,FALSE,FALSE,FALSE,FALSE,0.500413394
vanilla,1,asr,FALSE,FALSE,FALSE,FALSE,0.5210830922
vanilla,2,asr,FALSE,FALSE,FALSE,FALSE,0.5126085159
vanilla,4,asr,FALSE,FALSE,FALSE,FALSE,0.5163290616
vanilla,0,asr,FALSE,TRUE,FALSE,FALSE,0.5210830922
vanilla,1,asr,FALSE,TRUE,FALSE,FALSE,0.4956593634
vanilla,2,asr,FALSE,TRUE,FALSE,FALSE,0.5078544853
vanilla,4,asr,FALSE,TRUE,FALSE,FALSE,0.4956593634
vanilla,0,asr,FALSE,FALSE,TRUE,FALSE,0.4797436957
vanilla,1,asr,FALSE,FALSE,TRUE,FALSE,0.500413394
vanilla,2,asr,FALSE,FALSE,TRUE,FALSE,0.488218272
vanilla,4,asr,FALSE,FALSE,TRUE,FALSE,0.500413394
standard_cot,1,none,FALSE,FALSE,FALSE,TRUE,0.4707737595
standard_cot,2,none,FALSE,FALSE,FALSE,TRUE,0.4807771807
standard_cot,4,none,FALSE,FALSE,FALSE,TRUE,0.5719305498
standard_cot,1,none,FALSE,TRUE,FALSE,TRUE,0.61575031
standard_cot,2,none,FALSE,TRUE,FALSE,TRUE,0.6428276147
standard_cot,4,none,FALSE,TRUE,FALSE,TRUE,0.6926415874
standard_cot,1,none,TRUE,FALSE,FALSE,FALSE,0.4167011162
standard_cot,2,none,TRUE,FALSE,FALSE,FALSE,0.4431583299
standard_cot,4,none,TRUE,FALSE,FALSE,FALSE,0.3763952046
standard_cot,1,none,TRUE,TRUE,FALSE,FALSE,0.58081852
standard_cot,2,none,TRUE,TRUE,FALSE,FALSE,0.5882596114
standard_cot,4,none,TRUE,TRUE,FALSE,FALSE,0.6709384043
standard_cot,0,none,FALSE,FALSE,FALSE,FALSE,0.5417527904
standard_cot,1,none,FALSE,FALSE,FALSE,FALSE,0.4776767259
standard_cot,2,none,FALSE,FALSE,FALSE,FALSE,0.4898718479
standard_cot,4,none,FALSE,FALSE,FALSE,FALSE,0.5651095494
standard_cot,0,none,FALSE,TRUE,FALSE,FALSE,0.5489871848
standard_cot,1,none,FALSE,TRUE,FALSE,FALSE,0.6407606449
standard_cot,2,none,FALSE,TRUE,FALSE,FALSE,0.6360066143
standard_cot,4,none,FALSE,TRUE,FALSE,FALSE,0.6736254651
standard_cot,0,none,FALSE,FALSE,TRUE,FALSE,0.5140553948
standard_cot,1,none,FALSE,FALSE,TRUE,FALSE,0.4760231501
standard_cot,2,none,FALSE,FALSE,TRUE,FALSE,0.5322447292
standard_cot,4,none,FALSE,FALSE,TRUE,FALSE,0.500413394
standard_cot,1,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5487804878
standard_cot,2,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5281107896
standard_cot,4,groundtruth,FALSE,FALSE,FALSE,TRUE,0.5074410914
standard_cot,1,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5965274907
standard_cot,2,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5721372468
standard_cot,4,groundtruth,FALSE,TRUE,FALSE,TRUE,0.5684167011
standard_cot,1,groundtruth,TRUE,FALSE,FALSE,FALSE,0.6076891277
standard_cot,2,groundtruth,TRUE,FALSE,FALSE,FALSE,0.6252583712
standard_cot,4,groundtruth,TRUE,FALSE,FALSE,FALSE,0.604588673
standard_cot,1,groundtruth,TRUE,TRUE,FALSE,FALSE,0.6310458867
standard_cot,2,groundtruth,TRUE,TRUE,FALSE,FALSE,0.5659363373
standard_cot,4,groundtruth,TRUE,TRUE,FALSE,FALSE,0.6767259198
standard_cot,0,groundtruth,FALSE,FALSE,FALSE,FALSE,0.512195122
standard_cot,1,groundtruth,FALSE,FALSE,FALSE,FALSE,0.5775113683
